date,route,path,value
2026-07-14,mercado_exterior,precios.rosario.aceite,1151.9
2026-07-14,mercado_exterior,precios.rosario.harina_solvente,339.3
2026-07-14,mercado_exterior,precios.rosario.soya_grano,445.43
2026-07-14,venta_soja_lima,costo_exp.aceite,50.0
2026-07-14,venta_soja_lima,costo_exp.grano,50.0
2026-07-14,venta_soja_lima,costo_exp.solvente,50.0
2026-07-14,venta_soja_lima,costo_g_industrial,378.44
2026-07-14,venta_soja_lima,costo_total_transporte.aceite,0.0
2026-07-14,venta_soja_lima,costo_total_transporte.grano,0.0
2026-07-14,venta_soja_lima,costo_total_transporte.solvente,0.0
2026-07-14,venta_soja_lima,fca_scz_montero.aceite,1122.63
2026-07-14,venta_soja_lima,fca_scz_montero.grano,360.08
2026-07-14,venta_soja_lima,fca_scz_montero.solvente,291.56
2026-07-14,venta_soja_lima,fob_desaguadero.aceite,1172.63
2026-07-14,venta_soja_lima,fob_desaguadero.grano,410.08
2026-07-14,venta_soja_lima,fob_desaguadero.solvente,341.56
2026-07-14,venta_soja_rosario,costo_exp.aceite,60.91
2026-07-14,venta_soja_rosario,costo_exp.grano,46.85
2026-07-14,venta_soja_rosario,costo_exp.solvente,46.85
2026-07-14,venta_soja_rosario,costo_g_industrial,289.46
2026-07-14,venta_soja_rosario,costo_total_transporte.aceite,108.86
2026-07-14,venta_soja_rosario,costo_total_transporte.grano,106.34
2026-07-14,venta_soja_rosario,costo_total_transporte.solvente,86.02
2026-07-14,venta_soja_rosario,fca_scz_montero.aceite,982.14
2026-07-14,venta_soja_rosario,fca_scz_montero.grano,292.24
2026-07-14,venta_soja_rosario,fca_scz_montero.solvente,206.43
2026-07-14,venta_soja_rosario,fob_pto_aguirre.aceite,1043.04
2026-07-14,venta_soja_rosario,fob_pto_aguirre.grano,339.09
2026-07-14,venta_soja_rosario,fob_pto_aguirre.solvente,253.28
2026-07-16,mercado_exterior,base.desaguadero_chicago.aceite,-422.63
2026-07-16,mercado_exterior,base.desaguadero_chicago.harina_solvente,-7.65
2026-07-16,mercado_exterior,base.desaguadero_chicago.soya_grano,-28.11
2026-07-16,mercado_exterior,base.rosario_chicago.aceite,-416.46
2026-07-16,mercado_exterior,base.rosario_chicago.harina_solvente,-5.609
2026-07-16,mercado_exterior,base.rosario_chicago.soya_grano,8.161
2026-07-16,mercado_exterior,precios.chicago.aceite,1595.264
2026-07-16,mercado_exterior,precios.chicago.harina_solvente,349.209
2026-07-16,mercado_exterior,precios.chicago.soya_grano,438.189
2026-07-16,mercado_exterior,precios.desaguadero.aceite,1172.63
2026-07-16,mercado_exterior,precios.desaguadero.harina_solvente,341.56
2026-07-16,mercado_exterior,precios.desaguadero.soya_grano,410.08
2026-07-16,mercado_exterior,precios.rosario.aceite,1178.8
2026-07-16,mercado_exterior,precios.rosario.harina_solvente,343.6
2026-07-16,mercado_exterior,precios.rosario.soya_grano,446.35
2026-07-16,venta_soja_lima,costo_exp.aceite,50.0
2026-07-16,venta_soja_lima,costo_exp.grano,50.0
2026-07-16,venta_soja_lima,costo_exp.solvente,50.0
2026-07-16,venta_soja_lima,costo_g_industrial,378.44
2026-07-16,venta_soja_lima,costo_total_transporte.aceite,0.0
2026-07-16,venta_soja_lima,costo_total_transporte.grano,0.0
2026-07-16,venta_soja_lima,costo_total_transporte.solvente,0.0
2026-07-16,venta_soja_lima,fca_scz_montero.aceite,1122.63
2026-07-16,venta_soja_lima,fca_scz_montero.grano,360.08
2026-07-16,venta_soja_lima,fca_scz_montero.solvente,291.56
2026-07-16,venta_soja_lima,fob_desaguadero.aceite,1172.63
2026-07-16,venta_soja_lima,fob_desaguadero.grano,410.08
2026-07-16,venta_soja_lima,fob_desaguadero.solvente,341.56
2026-07-16,venta_soja_rosario,costo_exp.aceite,60.91
2026-07-16,venta_soja_rosario,costo_exp.grano,46.85
2026-07-16,venta_soja_rosario,costo_exp.solvente,46.85
2026-07-16,venta_soja_rosario,costo_g_industrial,297.59
2026-07-16,venta_soja_rosario,costo_total_transporte.aceite,108.94
2026-07-16,venta_soja_rosario,costo_total_transporte.grano,106.34
2026-07-16,venta_soja_rosario,costo_total_transporte.solvente,86.03
2026-07-16,venta_soja_rosario,fca_scz_montero.aceite,1008.96
2026-07-16,venta_soja_rosario,fca_scz_montero.grano,293.16
2026-07-16,venta_soja_rosario,fca_scz_montero.solvente,210.72
2026-07-16,venta_soja_rosario,fob_pto_aguirre.aceite,1069.86
2026-07-16,venta_soja_rosario,fob_pto_aguirre.grano,340.01
2026-07-16,venta_soja_rosario,fob_pto_aguirre.solvente,257.57
2026-07-17,mercado_exterior,base.desaguadero_chicago.aceite,-471.8
2026-07-17,mercado_exterior,base.desaguadero_chicago.harina_solvente,-11.51
2026-07-17,mercado_exterior,base.desaguadero_chicago.soya_grano,-30.77
2026-07-17,mercado_exterior,base.rosario_chicago.aceite,-466.03
2026-07-17,mercado_exterior,base.rosario_chicago.harina_solvente,-5.667
2026-07-17,mercado_exterior,base.rosario_chicago.soya_grano,24.257
2026-07-17,mercado_exterior,precios.chicago.aceite,1644.428
2026-07-17,mercado_exterior,precios.chicago.harina_solvente,353.067
2026-07-17,mercado_exterior,precios.chicago.soya_grano,440.853
2026-07-17,mercado_exterior,precios.desaguadero.aceite,1172.63
2026-07-17,mercado_exterior,precios.desaguadero.harina_solvente,341.56
2026-07-17,mercado_exterior,precios.desaguadero.soya_grano,410.08
2026-07-17,mercado_exterior,precios.rosario.aceite,1178.4
2026-07-17,mercado_exterior,precios.rosario.harina_solvente,347.4
2026-07-17,mercado_exterior,precios.rosario.soya_grano,465.11
2026-07-17,venta_soja_lima,costo_exp.aceite,70.0
2026-07-17,venta_soja_lima,costo_exp.grano,50.0
2026-07-17,venta_soja_lima,costo_exp.solvente,50.0
2026-07-17,venta_soja_lima,costo_g_industrial,374.74
2026-07-17,venta_soja_lima,costo_total_transporte.aceite,0.0
2026-07-17,venta_soja_lima,costo_total_transporte.grano,0.0
2026-07-17,venta_soja_lima,costo_total_transporte.solvente,0.0
2026-07-17,venta_soja_lima,fca_scz_montero.aceite,1102.63
2026-07-17,venta_soja_lima,fca_scz_montero.grano,360.08
2026-07-17,venta_soja_lima,fca_scz_montero.solvente,291.56
2026-07-17,venta_soja_lima,fob_desaguadero.aceite,1172.63
2026-07-17,venta_soja_lima,fob_desaguadero.grano,410.08
2026-07-17,venta_soja_lima,fob_desaguadero.solvente,341.56
2026-07-17,venta_soja_rosario,costo_exp.aceite,60.91
2026-07-17,venta_soja_rosario,costo_exp.grano,46.85
2026-07-17,venta_soja_rosario,costo_exp.solvente,46.85
2026-07-17,venta_soja_rosario,costo_g_industrial,300.32
2026-07-17,venta_soja_rosario,costo_total_transporte.aceite,108.94
2026-07-17,venta_soja_rosario,costo_total_transporte.grano,106.4
2026-07-17,venta_soja_rosario,costo_total_transporte.solvente,86.04
2026-07-17,venta_soja_rosario,fca_scz_montero.aceite,1008.56
2026-07-17,venta_soja_rosario,fca_scz_montero.grano,311.86
2026-07-17,venta_soja_rosario,fca_scz_montero.solvente,214.51
2026-07-17,venta_soja_rosario,fob_pto_aguirre.aceite,1069.46
2026-07-17,venta_soja_rosario,fob_pto_aguirre.grano,358.71
2026-07-17,venta_soja_rosario,fob_pto_aguirre.solvente,261.36
